Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1551202111000,00:0d:67:88:4b:df,-84,CableWiFi,-76.94891189,38.98535065,4,[ESS],,-5765
1551202111000,00:0d:67:8b:07:b5,-85,XFINITY,-76.94891189,38.98535065,4,[WPA2-EAP-CCMP][ESS],,-5805
1551202111000,00:0d:67:8b:07:be,-80,xfinitywifi,-76.94891189,38.98535065,4,[ESS],,12412
1551201989000,00:0d:67:8b:23:85,-82,XFINITY,-76.94716629,38.98471393,3,[WPA2-EAP-CCMP][ESS],,-5765
1551202111000,00:0d:67:8b:23:88,-68,CoxWiFi,-76.94891189,38.98535065,4,[ESS],,-5765
1551201989000,00:0d:67:8b:23:8e,-88,xfinitywifi,-76.94716629,38.98471393,3,[ESS],,62437
1551202111000,00:0d:67:8b:23:94,-72,,-76.94891189,38.98535065,4,[WPA2-PSK-CCMP][ESS],,62437
1551198988000,00:21:29:ac:a1:16,-76,,-76.93676951,38.98878777,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1551203310000,00:23:69:55:b2:b7,-87,Crestron Touchpanel,-76.94518825,38.99314765,5,[WEP][ESS],,62437
1551203911000,00:2a:10:35:60:91,-78,eduroam,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,12412
1551203911000,00:2a:10:35:60:93,-76,umd-util2,-76.93711919,38.99115541,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1551202830000,00:2c:c8:d6:2e:0c,-90,umd-util2,-76.94990118,38.99201587,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5180
1551202830000,00:2c:c8:d6:2e:0d,-90,umd-secure,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5180
1551201869000,00:2c:c8:d6:3f:61,-82,eduroam,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,112462
1551201869000,00:2c:c8:d6:41:cb,-82,umd-guest,-76.94668195,38.98316646,5,[ESS],,-5745
1551201869000,00:2c:c8:d6:41:cc,-82,umd-util2,-76.94668195,38.98316646,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5745
1551201869000,00:2c:c8:d6:41:cd,-82,umd-secure,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5745
1551201869000,00:2c:c8:d6:41:ce,-82,eduroam,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5745
1551201869000,00:2c:c8:f8:51:2c,-89,umd-util2,-76.94668195,38.98316646,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551201869000,00:2c:c8:f8:5c:22,-74,umd-secure,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,12412
1551201869000,00:2c:c8:f8:5c:2b,-83,umd-guest,-76.94668195,38.98316646,5,[ESS],,-5805
1551201869000,00:2c:c8:f8:5c:2c,-84,umd-util2,-76.94668195,38.98316646,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5805
1551201869000,00:2c:c8:f8:5c:2d,-83,umd-secure,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5805
1551201869000,00:2c:c8:f8:5c:2e,-83,eduroam,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5805
1551201869000,00:2c:c8:f8:5e:60,-78,umd,-76.94668195,38.98316646,5,[ESS],,112462
1551201869000,00:81:c4:14:21:cc,-88,umd-util2,-76.94668195,38.98316646,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551201869000,00:81:c4:14:21:cf,-88,umd,-76.94668195,38.98316646,5,[ESS],,-5320
1551203078000,00:81:c4:14:24:8b,-72,umd-guest,-76.94887707,38.9939031,4,[ESS],,-5765
1551203078000,00:81:c4:14:29:82,-89,umd-secure,-76.94887707,38.9939031,4,[WPA2-EAP-CCMP][ESS],,112462
1551203078000,00:81:c4:14:29:84,-88,umd-guest,-76.94887707,38.9939031,4,[ESS],,112462
1551202830000,00:81:c4:14:43:10,-73,umd,-76.94990118,38.99201587,5,[ESS],,112462
1551202830000,00:81:c4:14:43:11,-74,eduroam,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,112462
1551202830000,00:81:c4:14:43:13,-74,umd-util2,-76.94990118,38.99201587,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1551203310000,00:81:c4:14:46:72,-81,umd-secure,-76.94518825,38.99314765,5,[WPA2-EAP-CCMP][ESS],,112462
1551203911000,00:81:c4:14:47:c0,-81,umd,-76.93711919,38.99115541,5,[ESS],,12412
1551203911000,00:81:c4:14:47:c1,-81,eduroam,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,12412
1551203911000,00:81:c4:14:47:c2,-81,umd-secure,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,12412
1551203911000,00:81:c4:14:47:c3,-81,umd-util2,-76.93711919,38.99115541,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1551203911000,00:81:c4:14:47:c4,-80,umd-guest,-76.93711919,38.99115541,5,[ESS],,12412
1551201869000,00:81:c4:1e:18:db,-83,umd-guest,-76.94668195,38.98316646,5,[ESS],,-5805
1551202830000,00:81:c4:1e:1e:1b,-89,umd-guest,-76.94990118,38.99201587,5,[ESS],,-5300
1551202830000,00:81:c4:1e:1e:1c,-88,umd-util2,-76.94990118,38.99201587,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5300
1551202830000,00:81:c4:1e:1e:1d,-90,umd-secure,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5300
1551202830000,00:81:c4:1e:1e:1e,-91,eduroam,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5300
1551202830000,00:81:c4:1e:1e:1f,-90,umd,-76.94990118,38.99201587,5,[ESS],,-5300
1551202950000,00:81:c4:1e:24:3b,-83,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5260
1551202950000,00:81:c4:1e:24:3c,-83,umd-util2,-76.95009867,38.99287596,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5260
1551202950000,00:81:c4:1e:24:3d,-85,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5260
1551202950000,00:81:c4:1e:24:3e,-83,eduroam,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5260
1551202950000,00:81:c4:1e:24:3f,-84,umd,-76.95009867,38.99287596,5,[ESS],,-5260
1551202830000,00:81:c4:1e:31:eb,-88,umd-guest,-76.94990118,38.99201587,5,[ESS],,-5320
1551202830000,00:81:c4:1e:31:ec,-89,umd-util2,-76.94990118,38.99201587,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551202830000,00:81:c4:1e:31:ed,-89,umd-secure,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5320
1551202830000,00:81:c4:1e:31:ee,-90,eduroam,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5320
1551202950000,00:81:c4:1e:32:8b,-84,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5180
1551202950000,00:81:c4:1e:32:8c,-84,umd-util2,-76.95009867,38.99287596,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5180
1551202950000,00:81:c4:1e:32:8d,-84,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5180
1551203078000,00:81:c4:1e:34:9b,-88,umd-guest,-76.94887707,38.9939031,4,[ESS],,-5320
1551203078000,00:81:c4:1e:34:9c,-89,umd-util2,-76.94887707,38.9939031,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551203078000,00:81:c4:1e:34:9d,-86,umd-secure,-76.94887707,38.9939031,4,[WPA2-EAP-CCMP][ESS],,-5320
1551203431000,00:81:c4:1e:36:d2,-86,umd-secure,-76.94285984,38.99311487,7,[WPA2-EAP-CCMP][ESS],,112462
1551202950000,00:81:c4:1e:37:9b,-89,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5320
1551202830000,00:81:c4:1e:4f:74,-83,umd-guest,-76.94990118,38.99201587,5,[ESS],,12412
1551202830000,00:81:c4:1e:58:8b,-84,umd-guest,-76.94990118,38.99201587,5,[ESS],,-5320
1551202830000,00:81:c4:1e:58:8c,-86,umd-util2,-76.94990118,38.99201587,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551202830000,00:81:c4:1e:58:8d,-85,umd-secure,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5320
1551202830000,00:81:c4:1e:58:8e,-86,eduroam,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5320
1551202830000,00:81:c4:1e:58:8f,-86,umd,-76.94990118,38.99201587,5,[ESS],,-5320
1551202830000,00:81:c4:1e:59:cd,-86,umd-secure,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5200
1551202830000,00:81:c4:1e:59:ce,-87,eduroam,-76.94990118,38.99201587,5,[WPA2-EAP-CCMP][ESS],,-5200
1551202830000,00:81:c4:1e:59:cf,-87,umd,-76.94990118,38.99201587,5,[ESS],,-5200
1551203078000,00:81:c4:1e:5f:9b,-88,umd-guest,-76.94887707,38.9939031,4,[ESS],,-5240
1551203189000,00:81:c4:1e:5f:9c,-87,umd-util2,-76.94755568,38.99315939,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5240
1551203189000,00:81:c4:1e:5f:9d,-86,umd-secure,-76.94755568,38.99315939,3,[WPA2-EAP-CCMP][ESS],,-5240
1551203189000,00:81:c4:1e:5f:9e,-86,eduroam,-76.94755568,38.99315939,3,[WPA2-EAP-CCMP][ESS],,-5240
1551203189000,00:81:c4:1e:5f:9f,-87,umd,-76.94755568,38.99315939,3,[ESS],,-5240
1551202950000,00:81:c4:40:f1:3b,-91,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5240
1551202950000,00:81:c4:40:f1:3c,-88,umd-util2,-76.95009867,38.99287596,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5240
1551203078000,00:81:c4:44:80:00,-81,umd,-76.94887707,38.9939031,4,[ESS],,12412
1551203911000,00:81:c4:44:83:54,-89,umd-guest,-76.93711919,38.99115541,5,[ESS],,112462
1551203078000,00:81:c4:44:84:1b,-91,umd-guest,-76.94887707,38.9939031,4,[ESS],,-5260
1551202950000,00:f6:63:6f:bb:7b,-87,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5220
1551202950000,00:f6:63:6f:e6:cb,-90,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5320
1551202950000,00:f6:63:6f:f1:6b,-88,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5280
1551202950000,00:f6:63:6f:f1:6c,-87,umd-util2,-76.95009867,38.99287596,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5280
1551202950000,00:f6:63:6f:f1:6d,-88,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5280
1551202950000,00:f6:63:6f:f1:6e,-88,eduroam,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5280
1551202950000,00:f6:63:6f:f1:6f,-88,umd,-76.95009867,38.99287596,5,[ESS],,-5280
1551203189000,00:f6:63:70:0c:cb,-90,umd-guest,-76.94755568,38.99315939,3,[ESS],,-5320
1551203189000,00:f6:63:70:0c:cd,-88,umd-secure,-76.94755568,38.99315939,3,[WPA2-EAP-CCMP][ESS],,-5320
1551203189000,00:f6:63:70:0c:ce,-89,eduroam,-76.94755568,38.99315939,3,[WPA2-EAP-CCMP][ESS],,-5320
1551201869000,00:f6:63:70:0d:1b,-90,umd-guest,-76.94668195,38.98316646,5,[ESS],,-5200
1551203911000,00:f6:63:70:0e:e4,-74,umd-guest,-76.93711919,38.99115541,5,[ESS],,12412
1551202590000,00:f6:63:70:7e:40,-88,umd,-76.94974998,38.98882165,3,[ESS],,112462
1551202590000,00:f6:63:70:7e:41,-87,eduroam,-76.94974998,38.98882165,3,[WPA2-EAP-CCMP][ESS],,112462
1551202590000,00:f6:63:70:7e:42,-88,umd-secure,-76.94974998,38.98882165,3,[WPA2-EAP-CCMP][ESS],,112462
1551202590000,00:f6:63:70:7e:44,-90,umd-guest,-76.94974998,38.98882165,3,[ESS],,112462
1551201869000,00:f6:63:70:ca:eb,-92,umd-guest,-76.94668195,38.98316646,5,[ESS],,-5320
1551201869000,00:f6:63:70:ca:ec,-90,umd-util2,-76.94668195,38.98316646,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1551201869000,00:f6:63:70:ca:ed,-89,umd-secure,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5320
1551201869000,00:f6:63:70:ca:ee,-91,eduroam,-76.94668195,38.98316646,5,[WPA2-EAP-CCMP][ESS],,-5320
1551201869000,00:f6:63:70:ca:ef,-89,umd,-76.94668195,38.98316646,5,[ESS],,-5320
1551198867000,00:f6:63:70:cb:9b,-58,umd-guest,-76.93724864,38.99036966,4,[ESS],,-5805
1551198867000,00:f6:63:70:cb:9c,-59,umd-util2,-76.93724864,38.99036966,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5805
1551198867000,00:f6:63:70:cb:9d,-59,umd-secure,-76.93724864,38.99036966,4,[WPA2-EAP-CCMP][ESS],,-5805
1551198867000,00:f6:63:70:cb:9e,-58,eduroam,-76.93724864,38.99036966,4,[WPA2-EAP-CCMP][ESS],,-5805
1551198867000,00:f6:63:70:cb:9f,-58,umd,-76.93724864,38.99036966,4,[ESS],,-5805
1551203911000,00:f6:63:72:ad:9b,-83,umd-guest,-76.93711919,38.99115541,5,[ESS],,-5280
1551203911000,00:f6:63:72:ad:9c,-83,umd-util2,-76.93711919,38.99115541,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5280
1551203911000,00:f6:63:72:ad:9d,-83,umd-secure,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,-5280
1551203911000,00:f6:63:72:ad:9e,-82,eduroam,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,-5280
1551203911000,00:f6:63:72:ad:9f,-83,umd,-76.93711919,38.99115541,5,[ESS],,-5280
1551202950000,00:f6:63:8d:00:ed,-88,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5260
1551202950000,00:f6:63:8d:00:ee,-90,eduroam,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5260
1551202950000,00:f6:63:8d:00:ef,-88,umd,-76.95009867,38.99287596,5,[ESS],,-5260
1551203911000,00:f6:63:a2:dd:52,-85,umd-secure,-76.93711919,38.99115541,5,[WPA2-EAP-CCMP][ESS],,12412
1551203911000,00:f6:63:a2:dd:53,-85,umd-util2,-76.93711919,38.99115541,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1551202950000,00:f6:63:a3:1d:7b,-85,umd-guest,-76.95009867,38.99287596,5,[ESS],,-5300
1551202950000,00:f6:63:a3:1d:7c,-83,umd-util2,-76.95009867,38.99287596,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5300
1551202950000,00:f6:63:a3:1d:7d,-83,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5300
1551202950000,00:f6:63:a3:1d:7e,-84,eduroam,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5300
1551202950000,00:f6:63:a3:1d:7f,-83,umd,-76.95009867,38.99287596,5,[ESS],,-5300
1551202950000,00:f6:63:b1:e5:bd,-91,umd-secure,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5300
1551202950000,00:f6:63:b1:e5:be,-89,eduroam,-76.95009867,38.99287596,5,[WPA2-EAP-CCMP][ESS],,-5300
