OBJECTID,S_ID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,HEIGHT,CRADAVG,TRUNKHEIGHT,Lat,Long
1,7568,0,Ash,Green, ,Fraxinus,pennsylvanica, ,6.800000000000000,29.000000000000000,11.300000000000001,1,38.997400291967601,-76.922801314575452
2,11300,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3.600000000000000,0.000000000000000,0.000000000000000,0,38.989239047961760,-76.949051461977092
3,10353,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3.600000000000000,0.000000000000000,0.000000000000000,0,38.989724383047800,-76.948853186199898
4,9563,0,Holly,Japanese, ,Ilex,crenata, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.990569760060204,-76.949638468644821
5,10415,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,4.400000000000000,0.000000000000000,0.000000000000000,0,38.989420797403064,-76.948407846830690
6,14272,0,Boxwood,Little Leaf, ,Buxus,microphylla, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.989069095495672,-76.953069196392235
7,14287,0,Boxwood,Little Leaf, ,Buxus,microphylla, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.989061867552408,-76.953065308985899
8,9286,0,Pine,Japanese Black, ,Pinus,thunbergii, ,7.300000000000000,7.000000000000000,11.300000000000001,2,38.982955802968306,-76.941865858339483
9,9307,0,Pine,Eastern White, ,Pinus,strobus, ,6.600000000000000,32.899999999999999,8.500000000000000,0,38.997876841858201,-76.924016708656438
10,13888,0,Blackgum,Common, ,Nyssa,sylvatica, ,3.400000000000000,7.000000000000000,3.100000000000000,0,38.997001079937860,-76.939993497786233
11,14326,0,Raintree,Golden, ,Koelreuteria,paniculata, ,1.500000000000000,0.000000000000000,0.000000000000000,0,38.985706889881719,-76.955224124840868
12,8957,0,Pine,Loblolly, ,Pinus,taeda, ,1.900000000000000,10.500000000000000,2.800000000000000,0,38.993071235775474,-76.949500157476578
13,9202,2378,Pine,Limber, ,Pinus,flexilis, ,9.100000000000000,48.000000000000000,18.300000000000001,0,38.992384827562134,-76.945440758904738
14,9738,0,Holly,Japanese, ,Ilex,crenata, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.983157999407446,-76.942146996905933
15,8653,0,Pine,Mugo, ,Pinus,mugo, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.986390400418394,-76.952308663602537
16,10373,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3.300000000000000,0.000000000000000,0.000000000000000,0,38.989297943107687,-76.948390662222934
17,10992,0,Hawthorn,Washington, ,Crataegus,phaenopyrum, ,5.100000000000000,17.000000000000000,10.000000000000000,4,38.997557442751031,-76.923783863106095
18,8682,0,Holly,Japanese, ,Ilex,crenata, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.988795906342709,-76.952706957121492
19,10503,0,Serviceberry,Allegheny, ,Amelanchier,laevis, ,0.000000000000000,12.000000000000000,4.000000000000000,6,38.982848209794049,-76.946867934405049
20,9203,2381,Pine,Eastern White, ,Pinus,strobus, ,21.199999999999999,56.000000000000000,21.699999999999999,0,38.992350861433465,-76.945418003372737
21,9423,0,Holly,American, ,Ilex,opaca, ,5.400000000000000,14.000000000000000,5.700000000000000,3,38.986439876678624,-76.942438600076130
22,10014,585,Raintree,Golden, ,Koelreuteria,paniculata, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.985574937764781,-76.942711975003434
23,10226,3836,Fringetree,White, ,Chionanthus,virginicus, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.985336174406562,-76.943990357461857
24,7006,835,Linden,Little Leaf, ,Tilia,cordata, ,9.000000000000000,28.000000000000000,12.400000000000000,4,38.986274965822815,-76.940271299701777
25,4747,0,Holly,Deciduous, ,Ilex,decidua, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.988487416012262,-76.952689744236338
26,5522,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0.000000000000000,3.000000000000000,2.000000000000000,0,38.990444927334877,-76.951229346143151
27,5527,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0.000000000000000,3.000000000000000,2.000000000000000,0,38.990464222474444,-76.951217502683122
28,5550,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0.000000000000000,3.000000000000000,2.000000000000000,0,38.990479738874249,-76.951182396060915
29,5591,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0.000000000000000,3.000000000000000,2.000000000000000,0,38.990521847160764,-76.951090468851760
30,8067,0,Holly,American, ,Ilex,opaca, ,0.000000000000000,8.000000000000000,0.000000000000000,0,38.985081963453780,-76.937995694679032
31,8487,0,Holly,American, ,Ilex,opaca, ,3.500000000000000,11.000000000000000,4.400000000000000,0,38.992899025545711,-76.945232516567685
32,5660,0,Pieris,Japanese, ,Pieris,japonica, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.992019217885094,-76.948310843196325
33,5687,0,Boxwood,Common, ,Buxus,sempervirens, ,0.000000000000000,9.000000000000000,5.500000000000000,0,38.987002180617218,-76.940306291063649
34,7780,0,Blackgum,Common, ,Nyssa,sylvatica, ,3.100000000000000,12.699999999999999,7.100000000000000,0,38.989226020171394,-76.950146728812555
35,8552,0,Holly,American, ,Ilex,opaca, ,3.400000000000000,13.900000000000000,3.400000000000000,0,38.997905183542791,-76.924410411108866
