Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549387563000,00:09:5b:d8:1f:40,-89,,-76.93748055,38.98859925,3,[WEP][ESS],,82447
1549383186000,00:0a:f5:77:39:28,-67,UberColombo,-76.93719195,38.98606455,5,[WPA2-PSK-CCMP][ESS],,12412
1549385622000,00:10:7f:4d:3f:51,-77,Crestron_5,-76.94091505,38.98559971,3,[WEP][ESS],,-5765
1549386093000,00:10:7f:4d:3f:58,-71,Crestron,-76.9421816,38.98592976,5,[WEP][ESS],,62437
1549385282000,00:11:50:29:02:24,-79,dr_yu_lab,-76.93911395,38.98378921,3,[WPA-PSK-TKIP][ESS],,12412
1549387630000,00:11:74:8e:94:30,-90,MOJO-----secure,-76.93708935,38.9893412,3,[WPA2-EAP-CCMP][ESS],,-5240
1549382815000,00:11:74:8e:95:b0,-75,MOJO-----secure,-76.93685503,38.99075795,6,[WPA2-EAP-CCMP][ESS],,-5240
1549387743000,00:11:74:8e:dc:30,-85,MOJO-----secure,-76.9366146,38.99061527,4,[WPA2-EAP-CCMP][ESS],,-5765
1549382815000,00:11:74:8e:de:a0,-85,MOJO-----secure,-76.93685503,38.99075795,6,[WPA2-EAP-CCMP][ESS],,-5180
1549385975000,00:1d:05:4d:23:17,-85,Eaton-001D054D2317,-76.94202739,38.98543828,5,[WPA2-PSK-TKIP][ESS],,62437
1549385975000,00:1d:05:4d:23:99,-84,Eaton-001D054D2399,-76.94202739,38.98543828,5,[WPA2-PSK-TKIP][ESS],,62437
1549385975000,00:1d:05:4d:24:83,-77,Eaton-001D054D2483,-76.94202739,38.98543828,5,[WPA2-PSK-TKIP][ESS],,62437
1549385979000,00:1d:05:4d:24:bf,-75,Eaton-001D054D24BF,-76.94202852,38.98546529,5,[WPA2-PSK-TKIP][ESS],,62437
1549382906000,00:21:29:ac:a1:16,-71,,-76.93722255,38.98982618,11,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1549385757000,00:21:29:d4:f9:00,-72,Hedwig,-76.94157742,38.98656759,7,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549385123000,00:22:15:af:73:08,-88,,-76.93849536,38.98185578,4,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,-5200
1549385118000,00:22:15:af:73:0a,-89,xfinitywifi,-76.9385909,38.98186667,3,[ESS],,-5200
1549385118000,00:22:15:af:73:0b,-88,XFINITY,-76.9385909,38.98186667,3,[WPA2-EAP-CCMP][ESS],,-5200
1549387176000,00:2a:10:3d:f0:60,-80,umd,-76.94034503,38.98553189,3,[ESS],,112462
1549387176000,00:2a:10:3d:f0:61,-80,eduroam,-76.94034503,38.98553189,3,[WPA2-EAP-CCMP][ESS],,112462
1549385415000,00:2a:10:3d:f0:62,-81,umd-secure,-76.9401513,38.98552247,3,[WPA2-EAP-CCMP][ESS],,112462
1549385399000,00:2a:10:3d:f0:63,-78,umd-util2,-76.9400638,38.98534372,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549385415000,00:2a:10:3d:f0:64,-82,umd-guest,-76.9401513,38.98552247,3,[ESS],,112462
1549385399000,00:2a:10:3d:f0:6b,-76,umd-guest,-76.9400638,38.98534372,4,[ESS],,-5785
1549385399000,00:2a:10:3d:f0:6c,-76,umd-util2,-76.9400638,38.98534372,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5785
1549385399000,00:2a:10:3d:f0:6d,-76,umd-secure,-76.9400638,38.98534372,4,[WPA2-EAP-CCMP][ESS],,-5785
1549385399000,00:2a:10:3d:f0:6e,-77,eduroam,-76.9400638,38.98534372,4,[WPA2-EAP-CCMP][ESS],,-5785
1549385399000,00:2a:10:3d:f0:6f,-76,umd,-76.9400638,38.98534372,4,[ESS],,-5785
1549385360000,00:2a:10:5b:75:80,-86,umd,-76.93960851,38.98490877,3,[ESS],,112462
1549385360000,00:2a:10:5b:75:81,-86,eduroam,-76.93960851,38.98490877,3,[WPA2-EAP-CCMP][ESS],,112462
