Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1551287644000,00:10:7f:4d:3f:58,-63,Crestron,-76.94137877,38.98508943,3,[WEP][ESS],,62437
1551287801000,00:11:50:29:02:24,-68,dr_yu_lab,-76.94065114,38.98466142,3,[WPA-PSK-TKIP][ESS],,12412
1551288527000,00:11:74:8e:94:30,-86,MOJO-----secure,-76.93702039,38.98905914,7,[WPA2-EAP-CCMP][ESS],,-5765
1551287070000,00:15:ff:d9:a9:44,-79,Verizon-MiFi6620L-A944,-76.94393554,38.98584344,3,[WPA2-PSK-CCMP][ESS][WPS],,112462
1551288599000,00:15:ff:db:93:a5,-79,Verizon-MiFi7730L-93A5,-76.93725847,38.99006982,3,[WPA2-PSK-CCMP][ESS][WPS],,-5745
1551288602000,00:15:ff:de:a0:dc,-83,Verizon-MiFi7730L-93A5,-76.93724953,38.9901175,3,[WPA2-PSK-CCMP][ESS][WPS],,62437
1551288503000,00:15:ff:e6:65:63,-87,Verizon-MiFi7730L-6563,-76.93707459,38.98875671,5,[WPA2-PSK-CCMP][ESS][WPS],,-5745
1551287614000,00:1d:05:4d:23:17,-79,Eaton-001D054D2317,-76.94170405,38.98535728,3,[WPA2-PSK-TKIP][ESS],,62437
1551287604000,00:1d:05:4d:24:bf,-73,Eaton-001D054D24BF,-76.94189419,38.9853629,3,[WPA2-PSK-TKIP][ESS],,62437
1551287186000,00:1d:05:4d:2a:71,-76,Eaton-001D054D2A71,-76.94402739,38.98465907,3,[WPA2-PSK-TKIP][ESS],,62437
1551288548000,00:21:29:ac:a1:16,-75,,-76.93700829,38.98938389,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1551288002000,00:21:29:d4:f9:00,-60,Hedwig,-76.94175836,38.98670774,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
