Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549474313000,10:bd:18:f0:69:93,-69,umd-util2,-76.94032565,38.99183424,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549474253000,10:bd:18:f0:69:94,-76,umd-guest,-76.94102159,38.99132931,3,[ESS],,12412
1549474249000,10:bd:18:f0:69:9b,-68,umd-guest,-76.94109804,38.9913352,3,[ESS],,-5765
1549474316000,10:bd:18:f0:69:9c,-66,umd-util2,-76.94030325,38.99187171,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5765
1549474313000,10:bd:18:f0:69:9d,-66,umd-secure,-76.94032565,38.99183424,3,[WPA2-EAP-CCMP][ESS],,-5765
1549474313000,10:bd:18:f0:69:9e,-65,eduroam,-76.94032565,38.99183424,3,[WPA2-EAP-CCMP][ESS],,-5765
1549474250000,10:bd:18:f0:69:9f,-68,umd,-76.94108351,38.99133509,3,[ESS],,-5765
1549471955000,10:bd:18:f0:6c:20,-78,umd,-76.94264706,38.98530041,3,[ESS],,62437
1549471951000,10:bd:18:f0:6c:21,-83,eduroam,-76.94270848,38.98524046,4,[WPA2-EAP-CCMP][ESS],,62437
1549471973000,10:bd:18:f0:6c:22,-80,umd-secure,-76.94234059,38.98534243,4,[WPA2-EAP-CCMP][ESS],,62437
1549471955000,10:bd:18:f0:6c:24,-76,umd-guest,-76.94264706,38.98530041,3,[ESS],,62437
1549471969000,10:bd:18:f0:6c:2b,-74,umd-guest,-76.94236379,38.98532974,3,[ESS],,-5745
1549471969000,10:bd:18:f0:6c:2c,-76,umd-util2,-76.94236379,38.98532974,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5745
1549471969000,10:bd:18:f0:6c:2d,-75,umd-secure,-76.94236379,38.98532974,3,[WPA2-EAP-CCMP][ESS],,-5745
1549471969000,10:bd:18:f0:6c:2e,-75,eduroam,-76.94236379,38.98532974,3,[WPA2-EAP-CCMP][ESS],,-5745
1549471969000,10:bd:18:f0:6c:2f,-73,umd,-76.94236379,38.98532974,3,[ESS],,-5745
1549472859000,10:bd:18:f0:6d:00,-63,umd,-76.94378417,38.99062506,3,[ESS],,62437
1549472863000,10:bd:18:f0:6d:01,-62,eduroam,-76.94385335,38.99062092,3,[WPA2-EAP-CCMP][ESS],,62437
1549472859000,10:bd:18:f0:6d:02,-62,umd-secure,-76.94378417,38.99062506,3,[WPA2-EAP-CCMP][ESS],,62437
1549472860000,10:bd:18:f0:6d:03,-62,umd-util2,-76.94380247,38.99062564,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,62437
1549472857000,10:bd:18:f0:6d:04,-63,umd-guest,-76.94374916,38.99062802,3,[ESS],,62437
1549472842000,10:bd:18:f0:6d:0b,-52,umd-guest,-76.94344442,38.99063146,3,[ESS],,-5765
1549472843000,10:bd:18:f0:6d:0c,-52,umd-util2,-76.94346327,38.99063218,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5765
1549472842000,10:bd:18:f0:6d:0d,-52,umd-secure,-76.94344442,38.99063146,3,[WPA2-EAP-CCMP][ESS],,-5765
1549472843000,10:bd:18:f0:6d:0e,-52,eduroam,-76.94346327,38.99063218,3,[WPA2-EAP-CCMP][ESS],,-5765
1549472843000,10:bd:18:f0:6d:0f,-52,umd,-76.94346327,38.99063218,3,[ESS],,-5765
1549469152000,10:bd:18:f0:71:10,-71,umd,-76.93635828,38.98693037,5,[ESS],,12412
1549469152000,10:bd:18:f0:71:11,-70,eduroam,-76.93635828,38.98693037,5,[WPA2-EAP-CCMP][ESS],,12412
1549469152000,10:bd:18:f0:71:12,-70,umd-secure,-76.93635828,38.98693037,5,[WPA2-EAP-CCMP][ESS],,12412
1549469152000,10:bd:18:f0:71:13,-71,umd-util2,-76.93635828,38.98693037,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549469152000,10:bd:18:f0:71:14,-70,umd-guest,-76.93635828,38.98693037,5,[ESS],,12412
1549469196000,10:bd:18:f0:71:1b,-58,umd-guest,-76.93674377,38.98634875,3,[ESS],,-5745
1549469196000,10:bd:18:f0:71:1c,-58,umd-util2,-76.93674377,38.98634875,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5745
1549469196000,10:bd:18:f0:71:1d,-58,umd-secure,-76.93674377,38.98634875,3,[WPA2-EAP-CCMP][ESS],,-5745
1549469196000,10:bd:18:f0:71:1e,-58,eduroam,-76.93674377,38.98634875,3,[WPA2-EAP-CCMP][ESS],,-5745
1549469196000,10:bd:18:f0:71:1f,-59,umd,-76.93674377,38.98634875,3,[ESS],,-5745
1549474413000,10:da:43:b2:3c:34,-82,ENSTGRAD-5G-2,-76.93903318,38.99266182,3,[WPA2-PSK-CCMP][ESS][WPS],,-5765
1549469609000,10:da:43:cb:0d:af,-72,PIZZAKINGDOM_5GEXT,-76.93806094,38.98185567,3,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS][WPS],,-5765
1549469615000,10:da:43:cb:0d:b0,-70,PIZZAKINGDOM_2GEXT,-76.9380865,38.9817737,3,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS][WPS],,32422
1549468982000,12:56:6d:4c:d4:c6,-92,89-0147B,-76.93693493,38.98920489,7,[WEP][IBSS],,112462
1549473101000,12:62:e5:ca:f0:15,-82,DIRECT-15-HP OfficeJet 5200,-76.9469661,38.99134985,3,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549472990000,12:62:e5:cc:ba:ef,-84,DIRECT-EF-HP ENVY 5000 series,-76.9461763,38.99087865,3,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549469671000,12:8d:cb:6d:ce:39,-77,Nandocas,-76.93806195,38.98092294,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,-5220
1549469671000,12:8d:db:6d:ce:39,-70,Nandocas,-76.93806195,38.98092294,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,12412
1549471713000,12:e7:c6:cf:48:be,-88,DIRECT-BE-HP OfficeJet 5200,-76.94160919,38.98230013,4,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549469038000,14:56:8e:b8:88:24,-82,NOBLE DREW ALI,-76.93663778,38.98830897,4,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],,112462
1549474586000,14:91:82:c6:b2:f3,-86,510,-76.93734408,38.99134067,3,[WPA2-PSK-CCMP][ESS],,112462
1549469666000,16:8d:cb:6d:ce:39,-79,Nando's Guest WiFi,-76.93804959,38.98099296,3,[ESS],,-5220
1549469671000,16:8d:db:6d:ce:39,-71,Nando's Guest WiFi,-76.93806195,38.98092294,3,[ESS],,12412
1549469615000,18:1b:eb:df:84:c3,-76,7ZMQQ,-76.9380865,38.9817737,3,[WPA2-PSK-CCMP+TKIP][ESS],,112462
1549469582000,18:1b:eb:ec:bc:e1,-72,S46YR,-76.93814364,38.98226928,5,[WPA2-PSK-CCMP+TKIP][ESS],,62437
1549472434000,18:33:9d:71:f2:90,-74,umd,-76.93968683,38.98734901,4,[ESS],,112462
1549472434000,18:33:9d:71:f2:91,-73,eduroam,-76.93968683,38.98734901,4,[WPA2-EAP-CCMP][ESS],,112462
1549472434000,18:33:9d:71:f2:92,-74,umd-secure,-76.93968683,38.98734901,4,[WPA2-EAP-CCMP][ESS],,112462
1549472434000,18:33:9d:71:f2:93,-74,umd-util2,-76.93968683,38.98734901,4,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549472434000,18:33:9d:71:f2:94,-74,umd-guest,-76.93968683,38.98734901,4,[ESS],,112462
1549472434000,18:33:9d:71:f2:9b,-74,umd-guest,-76.93968683,38.98734901,4,[ESS],,-5805
1549472421000,18:33:9d:71:f2:9c,-81,umd-util2,-76.93978487,38.98717602,5,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5805
1549472434000,18:33:9d:71:f2:9d,-80,umd-secure,-76.93968683,38.98734901,4,[WPA2-EAP-CCMP][ESS],,-5805
1549472267000,18:33:9d:71:f2:9e,-82,eduroam,-76.93959989,38.9870045,4,[WPA2-EAP-CCMP][ESS],,-5805
1549472276000,18:33:9d:71:f2:9f,-80,umd,-76.93944474,38.98702672,4,[ESS],,-5805
1549471883000,18:33:9d:c7:9b:81,-88,eduroam,-76.94264251,38.98432598,3,[WPA2-EAP-CCMP][ESS],,112462
1549471901000,18:33:9d:c7:9b:8b,-84,umd-guest,-76.94264131,38.9845381,3,[ESS],,-5785
1549471887000,18:33:9d:c7:9b:8c,-84,umd-util2,-76.9426269,38.98435857,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5785
1549471910000,18:33:9d:c7:9b:8d,-86,umd-secure,-76.94264556,38.98461109,3,[WPA2-EAP-CCMP][ESS],,-5785
1549471910000,18:33:9d:c7:9b:8e,-88,eduroam,-76.94264556,38.98461109,3,[WPA2-EAP-CCMP][ESS],,-5785
1549471901000,18:33:9d:c7:9b:8f,-83,umd,-76.94264131,38.9845381,3,[ESS],,-5785
1549474395000,18:60:24:33:e8:7f,-57,DIRECT-7E-HP ENVY 4520 series,-76.93939917,38.99264453,3,[WPA2-PSK-CCMP][ESS][WPS],,82447
1549469706000,18:64:72:6e:2c:40,-79,Google Starbucks,-76.9382739,38.98080441,3,[ESS],,112462
1549469706000,18:64:72:6e:2c:41,-79,,-76.9382739,38.98080441,3,[WPA2-EAP-CCMP][ESS],,112462
1549469706000,18:64:72:6e:2c:48,-83,Google Starbucks,-76.9382739,38.98080441,3,[ESS],,-5240
1549469706000,18:64:72:6e:2c:49,-83,,-76.9382739,38.98080441,3,[WPA2-EAP-CCMP][ESS],,-5240
1549474293000,18:9c:5d:8f:e1:c0,-84,umd,-76.94046244,38.99154793,3,[ESS],,112462
1549474395000,18:9c:5d:8f:e1:c1,-82,eduroam,-76.93939917,38.99264453,3,[WPA2-EAP-CCMP][ESS],,112462
1549474399000,18:9c:5d:8f:e1:c2,-83,umd-secure,-76.93931118,38.99264398,3,[WPA2-EAP-CCMP][ESS],,112462
1549474260000,18:9c:5d:8f:e1:c3,-87,umd-util2,-76.9408718,38.99132395,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549474293000,18:9c:5d:8f:e1:c4,-82,umd-guest,-76.94046244,38.99154793,3,[ESS],,112462
