Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1551286453000,00:10:7f:4d:3f:58,-82,Crestron,-76.94269115,38.98556154,3,[WEP][ESS],,62437
1551283803000,00:11:74:8e:95:b0,-89,MOJO-----secure,-76.93673575,38.99080396,3,[WPA2-EAP-CCMP][ESS],,-5200
1551283811000,00:11:74:8e:dc:30,-87,MOJO-----secure,-76.93670458,38.99066153,4,[WPA2-EAP-CCMP][ESS],,-5220
1551283803000,00:11:74:8e:dc:40,-87,MOJO-----secure,-76.93673575,38.99080396,3,[WPA2-EAP-CCMP][ESS],,112462
1551283816000,00:11:74:8e:de:a0,-79,MOJO-----secure,-76.93669662,38.99057826,4,[WPA2-EAP-CCMP][ESS],,-5180
1551283816000,00:11:74:8e:de:b0,-78,MOJO-----secure,-76.93669662,38.99057826,4,[WPA2-EAP-CCMP][ESS],,62437
1551286028000,00:15:70:40:eb:c0,-70,Edc9sse1,-76.94434859,38.98777104,4,[WEP][ESS],,12412
1551284228000,00:1c:10:33:da:2d,-72,wireless,-76.94307179,38.98849295,6,[WPA-PSK-CCMP][ESS],,112462
1551286037000,00:1c:10:f6:7e:0b,-77,linksys-n,-76.94438131,38.98764002,5,[WPA2-PSK-CCMP][WPA-PSK-TKIP][ESS],,62437
1551283951000,00:1c:b3:ae:80:8f,-81,Eichhorn Network,-76.93921505,38.99021715,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS],,62437
1551284190000,00:24:36:ad:74:a7,-85,Karen Lips's Network,-76.94224602,38.98852283,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS],,62437
1551284205000,00:24:36:ad:74:a8,-82,Karen Lips's Network,-76.94252577,38.98854088,5,[WPA2-PSK-CCMP+TKIP][WPA-PSK-TKIP][ESS],,-5785
1551284048000,00:24:b1:02:6a:95,-73,0024b10000026a95,-76.94060639,38.98965584,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,42427
1551283795000,00:25:9c:c9:44:7a,-65,,-76.93672157,38.9909374,4,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1551283799000,00:2a:10:35:60:90,-72,umd,-76.93672497,38.99087685,3,[ESS],,12412
1551283799000,00:2a:10:35:60:91,-72,eduroam,-76.93672497,38.99087685,3,[WPA2-EAP-CCMP][ESS],,12412
1551283799000,00:2a:10:35:60:92,-72,umd-secure,-76.93672497,38.99087685,3,[WPA2-EAP-CCMP][ESS],,12412
1551286622000,00:2a:10:5b:75:cb,-90,umd-guest,-76.94345822,38.98547407,5,[ESS],,-5180
1551286617000,00:2a:10:5b:75:cc,-90,umd-util2,-76.94338448,38.98545875,6,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5180
1551286617000,00:2a:10:5b:75:cd,-89,umd-secure,-76.94338448,38.98545875,6,[WPA2-EAP-CCMP][ESS],,-5180
1551286617000,00:2a:10:5b:75:ce,-91,eduroam,-76.94338448,38.98545875,6,[WPA2-EAP-CCMP][ESS],,-5180
1551286617000,00:2a:10:5b:75:cf,-90,umd,-76.94338448,38.98545875,6,[ESS],,-5180
1551283799000,00:2a:10:5b:7b:71,-79,eduroam,-76.93672497,38.99087685,3,[WPA2-EAP-CCMP][ESS],,112462
