Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549559183000,00:0f:00:55:49:9b,-84,DIRECT-EERIVERmsXx,-76.93686072,38.98905944,3,[WPA2-PSK-CCMP][ESS][WPS],,112462
1549559521000,00:11:50:29:02:24,-84,dr_yu_lab,-76.93774432,38.98440215,3,[WPA-PSK-TKIP][ESS],,12412
1549559041000,00:11:74:8e:95:b0,-76,MOJO-----secure,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,-5240
1549559045000,00:11:74:8e:dc:30,-89,MOJO-----secure,-76.93667505,38.99067059,5,[WPA2-EAP-CCMP][ESS],,-5765
1549559045000,00:11:74:8e:dc:40,-85,MOJO-----secure,-76.93667505,38.99067059,5,[WPA2-EAP-CCMP][ESS],,12412
1549559045000,00:11:74:8e:de:a0,-87,MOJO-----secure,-76.93667505,38.99067059,5,[WPA2-EAP-CCMP][ESS],,-5180
1549559045000,00:11:74:8e:de:b0,-84,MOJO-----secure,-76.93667505,38.99067059,5,[WPA2-EAP-CCMP][ESS],,112462
1549559553000,00:15:ff:b7:00:86,-83,VaaH-132392,-76.93786473,38.98394212,3,[WPA2-PSK-CCMP][ESS],,12412
1549559631000,00:15:ff:e7:a2:39,-83,Verizon-MiFi7730L-A239,-76.9380513,38.98281071,3,[WPA2-PSK-CCMP][ESS][WPS],,-5765
1549559139000,00:21:29:ac:a1:16,-66,,-76.93707458,38.98966581,6,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,32422
1549559045000,00:25:9c:c9:44:7a,-66,,-76.93667505,38.99067059,5,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,62437
1549559041000,00:2a:10:35:60:90,-86,umd,-76.93672456,38.99068942,7,[ESS],,12412
1549559041000,00:2a:10:35:60:91,-84,eduroam,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,12412
1549559041000,00:2a:10:35:60:92,-84,umd-secure,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,12412
1549559041000,00:2a:10:35:60:93,-84,umd-util2,-76.93672456,38.99068942,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549559057000,00:2a:10:5b:7b:73,-84,umd-util2,-76.93672182,38.9905395,6,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549559057000,00:81:c4:14:03:24,-89,umd-guest,-76.93672182,38.9905395,6,[ESS],,112462
1549559053000,00:81:c4:14:03:2b,-88,umd-guest,-76.93667515,38.99056273,7,[ESS],,-5260
1549559053000,00:81:c4:14:03:2c,-88,umd-util2,-76.93667515,38.99056273,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5260
1549559053000,00:81:c4:14:03:2d,-88,umd-secure,-76.93667515,38.99056273,7,[WPA2-EAP-CCMP][ESS],,-5260
1549559053000,00:81:c4:14:03:2e,-88,eduroam,-76.93667515,38.99056273,7,[WPA2-EAP-CCMP][ESS],,-5260
1549559053000,00:81:c4:14:03:2f,-88,umd,-76.93667515,38.99056273,7,[ESS],,-5260
1549559322000,00:81:c4:1e:4a:00,-86,umd,-76.93762895,38.98703201,3,[ESS],,12412
1549559327000,00:81:c4:1e:4a:02,-87,umd-secure,-76.93770456,38.98696811,3,[WPA2-EAP-CCMP][ESS],,12412
1549559041000,00:81:c4:44:9a:50,-88,umd,-76.93672456,38.99068942,7,[ESS],,62437
1549559041000,00:81:c4:44:9a:52,-88,umd-secure,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,62437
1549559041000,00:f6:63:34:26:34,-76,umd-guest,-76.93672456,38.99068942,7,[ESS],,112462
1549559041000,00:f6:63:6f:fb:40,-81,umd,-76.93672456,38.99068942,7,[ESS],,112462
1549559041000,00:f6:63:6f:fb:41,-81,eduroam,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,112462
1549559041000,00:f6:63:6f:fb:42,-81,umd-secure,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,112462
1549559057000,00:f6:63:70:8f:f0,-84,umd,-76.93672182,38.9905395,6,[ESS],,112462
1549559057000,00:f6:63:70:8f:f1,-84,eduroam,-76.93672182,38.9905395,6,[WPA2-EAP-CCMP][ESS],,112462
1549559039000,00:f6:63:70:ca:f0,-84,umd,-76.93668691,38.99077147,11,[ESS],,12412
1549559041000,00:f6:63:70:ca:f1,-85,eduroam,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,12412
1549559053000,00:f6:63:70:ca:f2,-84,umd-secure,-76.93667515,38.99056273,7,[WPA2-EAP-CCMP][ESS],,12412
1549559039000,00:f6:63:70:ca:f3,-84,umd-util2,-76.93668691,38.99077147,11,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,12412
1549559045000,00:f6:63:70:ca:f4,-80,umd-guest,-76.93667505,38.99067059,5,[ESS],,12412
1549559041000,00:f6:63:70:ca:fb,-89,umd-guest,-76.93672456,38.99068942,7,[ESS],,-5260
1549559041000,00:f6:63:70:ca:fc,-89,umd-util2,-76.93672456,38.99068942,7,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5260
1549559041000,00:f6:63:70:ca:fd,-89,umd-secure,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,-5260
1549559041000,00:f6:63:70:ca:fe,-89,eduroam,-76.93672456,38.99068942,7,[WPA2-EAP-CCMP][ESS],,-5260
1549559094000,00:f6:63:70:cb:93,-76,umd-util2,-76.93727791,38.99034814,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549559094000,00:f6:63:70:cb:94,-76,umd-guest,-76.93727791,38.99034814,3,[ESS],,112462
1549559090000,00:f6:63:70:cb:9b,-79,umd-guest,-76.9373056,38.99042028,3,[ESS],,-5805
1549559090000,00:f6:63:70:cb:9c,-80,umd-util2,-76.9373056,38.99042028,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5805
1549559090000,00:f6:63:70:cb:9d,-79,umd-secure,-76.9373056,38.99042028,3,[WPA2-EAP-CCMP][ESS],,-5805
1549559090000,00:f6:63:70:cb:9e,-80,eduroam,-76.9373056,38.99042028,3,[WPA2-EAP-CCMP][ESS],,-5805
1549559090000,00:f6:63:70:cb:9f,-79,umd,-76.9373056,38.99042028,3,[ESS],,-5805
1549559106000,00:f6:63:70:cc:db,-88,umd-guest,-76.93722549,38.99017128,3,[ESS],,-5320
1549559110000,00:f6:63:70:cc:dc,-89,umd-util2,-76.93722327,38.99009353,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,-5320
1549559106000,00:f6:63:70:cc:dd,-89,umd-secure,-76.93722549,38.99017128,3,[WPA2-EAP-CCMP][ESS],,-5320
1549559106000,00:f6:63:70:cc:de,-89,eduroam,-76.93722549,38.99017128,3,[WPA2-EAP-CCMP][ESS],,-5320
1549559106000,00:f6:63:70:cc:df,-88,umd,-76.93722549,38.99017128,3,[ESS],,-5320
1549559041000,00:f6:63:70:ce:70,-83,umd,-76.93672456,38.99068942,7,[ESS],,12412
1549559039000,00:f6:63:70:ce:71,-81,eduroam,-76.93668691,38.99077147,11,[WPA2-EAP-CCMP][ESS],,12412
