Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1549292887000,00:17:5a:e6:ca:f5,-72,,-76.94703678,38.98609605,3,[ESS],,-5745
1549292534000,00:1c:10:33:da:2d,-80,wireless,-76.9427879,38.98797734,3,[WPA-PSK-CCMP][ESS],,112462
1549291015000,00:2a:10:35:60:90,-86,umd,-76.93726509,38.99032619,14,[ESS],,12412
1549291015000,00:2a:10:35:60:91,-86,eduroam,-76.93726509,38.99032619,14,[WPA2-EAP-CCMP][ESS],,12412
1549291015000,00:2a:10:35:60:92,-86,umd-secure,-76.93726509,38.99032619,14,[WPA2-EAP-CCMP][ESS],,12412
1549293015000,00:2a:10:3d:c4:70,-84,umd,-76.94544394,38.98537401,3,[ESS],,12412
1549293375000,00:2a:10:3d:f0:6d,-86,umd-secure,-76.94034171,38.98541468,3,[WPA2-EAP-CCMP][ESS],,-5785
1549291015000,00:2a:10:5b:7b:70,-82,umd,-76.93726509,38.99032619,14,[ESS],,112462
1549291015000,00:2a:10:5b:7b:71,-83,eduroam,-76.93726509,38.99032619,14,[WPA2-EAP-CCMP][ESS],,112462
1549291015000,00:2a:10:5b:7b:7b,-90,umd-guest,-76.93726509,38.99032619,14,[ESS],,-5320
1549291015000,00:2a:10:5b:7b:7d,-89,umd-secure,-76.93726509,38.99032619,14,[WPA2-EAP-CCMP][ESS],,-5320
1549292654000,00:2c:c8:d6:33:01,-78,eduroam,-76.94466682,38.98757513,3,[WPA2-EAP-CCMP][ESS],,112462
1549292654000,00:2c:c8:d6:33:02,-79,umd-secure,-76.94466682,38.98757513,3,[WPA2-EAP-CCMP][ESS],,112462
1549292654000,00:2c:c8:d6:33:03,-80,umd-util2,-76.94466682,38.98757513,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,112462
1549292654000,00:2c:c8:d6:33:0d,-80,umd-secure,-76.94466682,38.98757513,3,[WPA2-EAP-CCMP][ESS],,-5765
1549292654000,00:2c:c8:d6:33:0e,-79,eduroam,-76.94466682,38.98757513,3,[WPA2-EAP-CCMP][ESS],,-5765
1549292654000,00:2c:c8:d6:33:0f,-78,umd,-76.94466682,38.98757513,3,[ESS],,-5765
1549292294000,00:2c:c8:d6:40:20,-82,umd,-76.94650901,38.9890952,3,[ESS],,12412
1549292294000,00:2c:c8:d6:40:21,-82,eduroam,-76.94650901,38.9890952,3,[WPA2-EAP-CCMP][ESS],,12412
1549292294000,00:2c:c8:d6:40:22,-82,umd-secure,-76.94650901,38.9890952,3,[WPA2-EAP-CCMP][ESS],,12412
1549293735000,00:80:92:63:4e:c0,-76,100,-76.93712866,38.98958668,3,[WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS],,32422
1549291818000,00:81:c4:14:08:d0,-79,umd,-76.94742354,38.99185232,3,[ESS],,112462
1549291818000,00:81:c4:14:08:d1,-79,eduroam,-76.94742354,38.99185232,3,[WPA2-EAP-CCMP][ESS],,112462
1549292174000,00:81:c4:14:0a:52,-91,umd-secure,-76.94870549,38.98914366,4,[WPA2-EAP-CCMP][ESS],,112462
