Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1551203880000,00:0a:95:f4:57:cf,-88,BY Network,-76.93734066,38.99144821,3,[WPA2-PSK-CCMP][ESS],,12412
1551203871000,00:0d:67:2b:04:34,-86,,-76.93738792,38.99162725,4,[WPA2-PSK-CCMP][ESS],,12412
1551202048000,00:0d:67:88:4b:dd,-74,XFINITY,-76.94827196,38.984964,3,[WPA2-EAP-CCMP][ESS],,-5765
1551202048000,00:0d:67:88:4b:de,-75,xfinitywifi,-76.94827196,38.984964,3,[ESS],,-5765
1551202048000,00:0d:67:88:4b:df,-76,CableWiFi,-76.94827196,38.984964,3,[ESS],,-5765
1551202048000,00:0d:67:88:4b:e0,-76,CoxWiFi,-76.94827196,38.984964,3,[ESS],,-5765
1551202052000,00:0d:67:88:4b:e4,-77,,-76.94835473,38.9849478,3,[WPA2-PSK-CCMP][ESS],,-5765
1551202075000,00:0d:67:88:4b:e5,-80,XFINITY,-76.94876925,38.98495315,3,[WPA2-EAP-CCMP][ESS],,62437
1551202052000,00:0d:67:88:4b:e7,-78,CableWiFi,-76.94835473,38.9849478,3,[ESS],,62437
1551202064000,00:0d:67:88:4b:e8,-78,CoxWiFi,-76.94857289,38.9849592,3,[ESS],,62437
1551202068000,00:0d:67:88:4b:ec,-74,,-76.94863485,38.98494405,3,[WPA2-PSK-CCMP][ESS],,62437
1551202068000,00:0d:67:8b:07:b5,-74,XFINITY,-76.94863485,38.98494405,3,[WPA2-EAP-CCMP][ESS],,-5805
1551202068000,00:0d:67:8b:07:b7,-74,CableWiFi,-76.94863485,38.98494405,3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,-5805
1551202052000,00:0d:67:8b:07:b8,-82,CoxWiFi,-76.94835473,38.9849478,3,[ESS],,-5805
1551202052000,00:0d:67:8b:07:bc,-82,,-76.94835473,38.9849478,3,[WPA2-PSK-CCMP][ESS],,-5805
1551202068000,00:0d:67:8b:07:bd,-77,XFINITY,-76.94863485,38.98494405,3,[WPA2-EAP-CCMP][ESS],,12412
1551202072000,00:0d:67:8b:07:c4,-68,,-76.94870935,38.98493622,3,[WPA2-PSK-CCMP][ESS],,12412
1551202043000,00:0d:67:8b:23:85,-68,XFINITY,-76.94816244,38.98496862,3,[WPA2-EAP-CCMP][ESS],,-5765
1551202043000,00:0d:67:8b:23:86,-68,xfinitywifi,-76.94816244,38.98496862,3,[ESS],,-5765
1551202073000,00:0d:67:8b:23:87,-67,CableWiFi,-76.94873001,38.98493802,3,[ESS],,-5765
1551202068000,00:0d:67:8b:23:88,-67,CoxWiFi,-76.94863485,38.98494405,3,[ESS],,-5765
1551202052000,00:0d:67:8b:23:8c,-68,,-76.94835473,38.9849478,3,[WPA2-PSK-CCMP][ESS],,-5765
1551202064000,00:0d:67:8b:23:8d,-73,XFINITY,-76.94857289,38.9849592,3,[WPA2-EAP-CCMP][ESS],,62437
1551202075000,00:0d:67:8b:23:8e,-70,xfinitywifi,-76.94876925,38.98495315,3,[ESS],,62437
1551201931000,00:0d:67:8b:23:8f,-72,CableWiFi,-76.94691236,38.98408308,3,[ESS],,62437
1551202052000,00:0d:67:8b:23:90,-73,CoxWiFi,-76.94835473,38.9849478,3,[ESS],,62437
