0.000000, 50.000000, 0.000000
0.000000, -1.000000, 0.000000
-0.095259, 38.030338, 0.002477
0.957205, -0.286326, -0.042144
34.695114, 44.685925, 13.882958
-0.595894, -0.752741, -0.279808
-46.580441, -19.130672, 14.663250
0.939158, 0.302787, -0.162180
-18.953907, -17.137594, -0.207447
0.996394, 0.065569, -0.053858
-14.952801, -16.245180, -0.207139
0.472351, 0.880356, -0.043103
-11.220405, -7.684553, -0.195377
0.980231, 0.185536, -0.068729
61.908001, -6.610120, 14.018274
-0.945746, -0.036204, -0.322885
